Mutant;testTS_1_1;testTS_1_2;testTS_1_3;testTS_1_4;testTS_1_5;testTS_1_6;testTS_1_7;testTS_1_8;testTS_1_9;testTS_1_10;testTS_1_11;testTS_1_12;testTS_1_13;testTS_1_14;testTS_1_15;testTS_1_16;testTS_1_17;testTS_1_18;testTS_1_19;testTS_1_20;testTS_1_21;testTS_1_22;testTS_1_23;testTS_1_24;testTS_1_25;Total;State
AMC_10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Alive;
AMC_11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AMC_12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Alive;
AMC_13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Alive;
AMC_14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AMC_15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Alive;
AOIS_1;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;10;Dead;
AOIS_2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Alive;
AOIS_4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Alive;
AOIS_5;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;12;Dead;
AOIS_6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_10;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;14;Dead;
AOIS_11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_12;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;14;Dead;
AOIS_13;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;17;Dead;
AOIS_14;1;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;19;Dead;
AOIS_15;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;17;Dead;
AOIS_16;1;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;19;Dead;
AOIS_17;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;18;Dead;
AOIS_18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
