Mutant;testTS_1_1;testTS_1_2;testTS_1_3;testTS_1_4;testTS_1_5;testTS_1_6;testTS_1_7;testTS_1_8;testTS_1_9;testTS_1_10;testTS_1_11;testTS_1_12;testTS_1_13;testTS_1_14;testTS_1_15;testTS_1_16;testTS_1_17;testTS_1_18;testTS_1_19;testTS_1_20;testTS_1_21;testTS_1_22;testTS_1_23;testTS_1_24;testTS_1_25;Total;State
AMC_10_and_VDL_13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AMC_11_and_VDL_12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AMC_12_and_VDL_11;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;10;Dead;
AMC_13_and_VDL_10;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;12;Dead;
AMC_14_and_VDL_9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AMC_15_and_VDL_7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_1_and_VDL_1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;17;Dead;
AOIS_2_and_SDL_15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_15_and_SDL_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_16_and_ROR_21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_17_and_ROR_20;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;18;Dead;
AOIS_18_and_ROR_19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_19_and_ROR_18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_20_and_ROR_17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_21_and_ROR_16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_22_and_ROR_15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_23_and_ROR_14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_24_and_ROR_13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_25_and_ROR_12;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;17;Dead;
AOIS_26_and_ROR_11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_27_and_ROR_10;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;9;Dead;
AOIS_28_and_ROR_9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_29_and_ROR_8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_30_and_ROR_5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_31_and_ROR_4;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;18;Dead;
AOIS_32_and_ROR_3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_33_and_ROR_2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_34_and_ROR_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_35_and_ODL_22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_36_and_ODL_21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_37_and_ODL_20;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;10;Dead;
AOIS_38_and_ODL_19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_39_and_ODL_18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_40_and_ODL_17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_41_and_ODL_16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_42_and_ODL_15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_44_and_ODL_11;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Dead;
AOIS_45_and_ODL_10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_46_and_ODL_9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_47_and_ODL_4;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;5;Dead;
AOIS_48_and_ODL_3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Dead;
AOIS_49_and_ODL_2;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;17;Dead;
AOIS_50_and_ODL_1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;17;Dead;
AOIS_51_and_COI_3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_52_and_COI_2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_53_and_COI_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_54_and_CDL_4;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;6;Dead;
AOIS_55_and_CDL_2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_56_and_AORB_32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_57_and_AORB_31;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_58_and_AORB_30;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;17;Dead;
AOIS_59_and_AORB_29;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
AOIS_60_and_AORB_28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;Dead;
